"","ActivityStartDate","CharacteristicName","ResultMeasureValue","ResultMeasure.MeasureUnitCode"
"8520",1990,"Phosphate-phosphorus","0.278","mg/l"
"8535",1990,"Phosphate-phosphorus","0.036","mg/l"
"8555",1992,"Phosphate-phosphorus","0.09","mg/l"
"8558",1993,"Phosphate-phosphorus","0.124","mg/l"
"8567",1991,"Phosphate-phosphorus","0.116","mg/l"
"8570",1993,"Phosphate-phosphorus","0.157","mg/l"
"8574",2013,"Phosphate-phosphorus","0.0773","mg/l"
"8577",2013,"Phosphate-phosphorus","0.0266","mg/l"
"8683",2013,"Phosphate-phosphorus","0.0732","mg/l"
"8728",2018,"Phosphate-phosphorus","0.0405","mg/l"
"8759",2019,"Phosphate-phosphorus","0.565","mg/l"
"8777",2005,"Phosphate-phosphorus","0.281","mg/l"
"8782",2005,"Phosphate-phosphorus","0.442","mg/l"
"8787",2005,"Phosphate-phosphorus","0.448","mg/l"
"8789",2000,"Phosphate-phosphorus","0.087","mg/l"
"8803",2006,"Phosphate-phosphorus","0.148","mg/l"
"8809",2002,"Phosphate-phosphorus","0.107","mg/l"
"8815",2001,"Phosphate-phosphorus","0.028","mg/l"
"8821",1996,"Phosphate-phosphorus","0.152","mg/l"
"8834",2000,"Phosphate-phosphorus","0.084","mg/l"
"8835",2005,"Phosphate-phosphorus","0.155","mg/l"
"8840",2003,"Phosphate-phosphorus","0.081","mg/l"
"8854",2007,"Phosphate-phosphorus","0.174","mg/l"
"8856",2011,"Phosphate-phosphorus","0.066","mg/l"
"8869",2009,"Phosphate-phosphorus","0.070","mg/l"
"8882",1988,"Phosphate-phosphorus","0.014","mg/l"
"8887",1988,"Phosphate-phosphorus","0.014","mg/l"
"8897",1989,"Phosphate-phosphorus","0.069","mg/l"
"8899",1990,"Phosphate-phosphorus","0.104","mg/l"
"8903",1992,"Phosphate-phosphorus","0.047","mg/l"
"8908",1992,"Phosphate-phosphorus","0.109","mg/l"
"8917",2011,"Phosphate-phosphorus","0.288","mg/l"
"8923",2011,"Phosphate-phosphorus","0.114","mg/l"
"8924",2009,"Phosphate-phosphorus","0.171","mg/l"
"8931",2012,"Phosphate-phosphorus","0.093","mg/l"
"8935",2013,"Phosphate-phosphorus","0.115","mg/l"
"8991",2015,"Phosphate-phosphorus","0.485","mg/l"
"9005",2014,"Phosphate-phosphorus","0.111","mg/l"
"9064",2018,"Phosphate-phosphorus","0.0827","mg/l"
"9117",2005,"Phosphate-phosphorus","0.029","mg/l"
"9122",1997,"Phosphate-phosphorus","0.128","mg/l"
"9123",2001,"Phosphate-phosphorus","0.091","mg/l"
"9135",2002,"Phosphate-phosphorus","0.039","mg/l"
"9137",2002,"Phosphate-phosphorus","0.214","mg/l"
"9142",2001,"Phosphate-phosphorus","0.090","mg/l"
"9147",1997,"Phosphate-phosphorus","0.123","mg/l"
"9157",1996,"Phosphate-phosphorus","0.123","mg/l"
"9170",2003,"Phosphate-phosphorus","0.040","mg/l"
"9173",1999,"Phosphate-phosphorus","0.099","mg/l"
"9180",1989,"Phosphate-phosphorus","0.066","mg/l"
"9183",2019,"Phosphate-phosphorus","0.178","mg/l"
"9189",2008,"Phosphate-phosphorus","0.264","mg/l"
"9193",2007,"Phosphate-phosphorus","0.089","mg/l"
"9204",2007,"Phosphate-phosphorus","0.074","mg/l"
"9209",2014,"Phosphate-phosphorus","0.0297","mg/l"
"9212",2007,"Phosphate-phosphorus","0.424","mg/l"
"9231",2008,"Phosphate-phosphorus","0.054","mg/l"
"9266",2009,"Phosphate-phosphorus","0.162","mg/l"
"9269",2010,"Phosphate-phosphorus","0.114","mg/l"
"9273",2010,"Phosphate-phosphorus","0.063","mg/l"
"9278",1989,"Phosphate-phosphorus","0.11","mg/l"
"9284",1990,"Phosphate-phosphorus","0.105","mg/l"
"9290",1990,"Phosphate-phosphorus","0.24","mg/l"
"9292",1991,"Phosphate-phosphorus","0.096","mg/l"
"9298",1990,"Phosphate-phosphorus","0.066","mg/l"
"9305",1991,"Phosphate-phosphorus","0.038","mg/l"
"9318",1992,"Phosphate-phosphorus","0.18","mg/l"
"9325",1993,"Phosphate-phosphorus","0.193","mg/l"
"9330",1993,"Phosphate-phosphorus","0.174","mg/l"
"9333",1993,"Phosphate-phosphorus","0.180","mg/l"
"9342",2010,"Phosphate-phosphorus","0.283","mg/l"
"9353",2014,"Phosphate-phosphorus","0.111","mg/l"
"9408",2019,"Phosphate-phosphorus","0.171","mg/l"
"9411",2015,"Phosphate-phosphorus","0.432","mg/l"
"9412",2015,"Phosphate-phosphorus","0.0412","mg/l"
"9417",2014,"Phosphate-phosphorus","0.0975","mg/l"
"9418",2014,"Phosphate-phosphorus","0.0325","mg/l"
"9419",2014,"Phosphate-phosphorus","0.0574","mg/l"
"9444",2017,"Phosphate-phosphorus","0.0550","mg/l"
"9452",2018,"Phosphate-phosphorus","0.0413","mg/l"
"9458",2018,"Phosphate-phosphorus","0.0813","mg/l"
"9460",2019,"Phosphate-phosphorus","0.360","mg/l"
"9499",1996,"Phosphate-phosphorus","0.472","mg/l"
"9504",1997,"Phosphate-phosphorus","0.154","mg/l"
"9509",1997,"Phosphate-phosphorus","0.279","mg/l"
"9527",2000,"Phosphate-phosphorus","0.114","mg/l"
"9541",1995,"Phosphate-phosphorus","0.023","mg/l"
"9544",2004,"Phosphate-phosphorus","0.330","mg/l"
"9555",1996,"Phosphate-phosphorus","0.134","mg/l"
"9574",1996,"Phosphate-phosphorus","0.029","mg/l"
"9585",1997,"Phosphate-phosphorus","0.174","mg/l"
"9587",2003,"Phosphate-phosphorus","0.079","mg/l"
"9601",2007,"Phosphate-phosphorus","0.502","mg/l"
"9612",2007,"Phosphate-phosphorus","0.023","mg/l"
"9625",2010,"Phosphate-phosphorus","0.043","mg/l"
"9631",1990,"Phosphate-phosphorus","0.107","mg/l"
"9632",1989,"Phosphate-phosphorus","0.151","mg/l"
"9645",1989,"Phosphate-phosphorus","0.039","mg/l"
"9650",1990,"Phosphate-phosphorus","0.44","mg/l"
"9659",1992,"Phosphate-phosphorus","0.48","mg/l"
"9662",1992,"Phosphate-phosphorus","0.042","mg/l"
"9665",1993,"Phosphate-phosphorus","0.077","mg/l"
"9675",1993,"Phosphate-phosphorus","0.131","mg/l"
"9676",1991,"Phosphate-phosphorus","0.028","mg/l"
"9686",1993,"Phosphate-phosphorus","0.155","mg/l"
"9700",1991,"Phosphate-phosphorus","0.024","mg/l"
"9712",2009,"Phosphate-phosphorus","0.127","mg/l"
"9715",2011,"Phosphate-phosphorus","0.119","mg/l"
"9717",2012,"Phosphate-phosphorus","0.083","mg/l"
"9720",2013,"Phosphate-phosphorus","0.279","mg/l"
"9725",2013,"Phosphate-phosphorus","0.460","mg/l"
"9788",2015,"Phosphate-phosphorus","0.0228","mg/l"
"9797",2014,"Phosphate-phosphorus","0.102","mg/l"
"9825",2017,"Phosphate-phosphorus","0.102","mg/l"
"9828",2017,"Phosphate-phosphorus","0.0316","mg/l"
"9888",2005,"Phosphate-phosphorus","0.117","mg/l"
"9890",2005,"Phosphate-phosphorus","0.137","mg/l"
"9893",2003,"Phosphate-phosphorus","0.284","mg/l"
"9910",2006,"Phosphate-phosphorus","0.139","mg/l"
"9912",2004,"Phosphate-phosphorus","0.037","mg/l"
"9913",2005,"Phosphate-phosphorus","0.162","mg/l"
"9914",2003,"Phosphate-phosphorus","0.044","mg/l"
"9921",1999,"Phosphate-phosphorus","0.113","mg/l"
"9964",2000,"Phosphate-phosphorus","0.048","mg/l"
"9968",1996,"Phosphate-phosphorus","0.569","mg/l"
"9991",2011,"Phosphate-phosphorus","0.066","mg/l"
"9994",2007,"Phosphate-phosphorus","0.025","mg/l"
"10008",1988,"Phosphate-phosphorus","0.013","mg/l"
"10012",1989,"Phosphate-phosphorus","0.11","mg/l"
"10020",1990,"Phosphate-phosphorus","0.51","mg/l"
"10027",1991,"Phosphate-phosphorus","0.109","mg/l"
"10031",1991,"Phosphate-phosphorus","0.064","mg/l"
"10041",1993,"Phosphate-phosphorus","0.35","mg/l"
"10046",1994,"Phosphate-phosphorus","0.314","mg/l"
"10051",1995,"Phosphate-phosphorus","0.029","mg/l"
"10054",1992,"Phosphate-phosphorus","0.128","mg/l"
"10055",2010,"Phosphate-phosphorus","0.039","mg/l"
"10061",2012,"Phosphate-phosphorus","0.093","mg/l"
"10064",2012,"Phosphate-phosphorus","0.395","mg/l"
"10067",2014,"Phosphate-phosphorus","0.0243","mg/l"
"10113",2016,"Phosphate-phosphorus","0.0494","mg/l"
"10118",2016,"Phosphate-phosphorus","0.0889","mg/l"
"10144",2014,"Phosphate-phosphorus","0.0451","mg/l"
"10166",2018,"Phosphate-phosphorus","0.0246","mg/l"
"10168",2019,"Phosphate-phosphorus","0.447","mg/l"
"10180",2004,"Phosphate-phosphorus","0.229","mg/l"
"10183",1999,"Phosphate-phosphorus","0.081","mg/l"
"10186",2004,"Phosphate-phosphorus","0.075","mg/l"
"10193",1997,"Phosphate-phosphorus","0.155","mg/l"
"10198",2004,"Phosphate-phosphorus","0.029","mg/l"
"10203",2000,"Phosphate-phosphorus","0.050","mg/l"
"10207",1998,"Phosphate-phosphorus","0.122","mg/l"
"10211",2004,"Phosphate-phosphorus","0.085","mg/l"
"10212",1997,"Phosphate-phosphorus","0.334","mg/l"
"10224",2000,"Phosphate-phosphorus","0.097","mg/l"
"10226",1998,"Phosphate-phosphorus","0.084","mg/l"
"10254",1989,"Phosphate-phosphorus","0.070","mg/l"
"10267",2008,"Phosphate-phosphorus","0.162","mg/l"
"10279",2007,"Phosphate-phosphorus","0.160","mg/l"
"10281",2011,"Phosphate-phosphorus","0.017","mg/l"
"10285",2011,"Phosphate-phosphorus","0.476","mg/l"
"10289",2011,"Phosphate-phosphorus","0.066","mg/l"
"10307",1988,"Phosphate-phosphorus","0.48","mg/l"
"10311",1988,"Phosphate-phosphorus","0.018","mg/l"
"10315",1988,"Phosphate-phosphorus","0.076","mg/l"
"10319",1988,"Phosphate-phosphorus","0.075","mg/l"
"10329",1990,"Phosphate-phosphorus","0.26","mg/l"
"10333",1990,"Phosphate-phosphorus","0.33","mg/l"
"10345",1991,"Phosphate-phosphorus","0.089","mg/l"
"10348",1991,"Phosphate-phosphorus","0.15","mg/l"
"10350",1993,"Phosphate-phosphorus","0.103","mg/l"
"10357",1991,"Phosphate-phosphorus","0.33","mg/l"
"10368",1992,"Phosphate-phosphorus","0.091","mg/l"
"10369",1994,"Phosphate-phosphorus","0.145","mg/l"
"10373",2012,"Phosphate-phosphorus","0.014","mg/l"
"10378",2013,"Phosphate-phosphorus","0.116","mg/l"
"10381",2014,"Phosphate-phosphorus","0.0342","mg/l"
"10533",2015,"Phosphate-phosphorus","0.0586","mg/l"
"10549",2017,"Phosphate-phosphorus","0.223","mg/l"
"10552",2018,"Phosphate-phosphorus","0.0803","mg/l"
"10568",2002,"Phosphate-phosphorus","0.076","mg/l"
"10573",2004,"Phosphate-phosphorus","0.045","mg/l"
"10582",1999,"Phosphate-phosphorus","0.115","mg/l"
"10591",2005,"Phosphate-phosphorus","0.344","mg/l"
"10596",1995,"Phosphate-phosphorus","0.124","mg/l"
"10601",2002,"Phosphate-phosphorus","0.025","mg/l"
"10604",2000,"Phosphate-phosphorus","0.059","mg/l"
"10605",1999,"Phosphate-phosphorus","0.175","mg/l"
"10613",1999,"Phosphate-phosphorus","0.237","mg/l"
"10617",2003,"Phosphate-phosphorus","0.052","mg/l"
"10622",1998,"Phosphate-phosphorus","0.346","mg/l"
"10627",1997,"Phosphate-phosphorus","0.121","mg/l"
"10630",2000,"Phosphate-phosphorus","0.194","mg/l"
"10633",1998,"Phosphate-phosphorus","0.025","mg/l"
"10645",2005,"Phosphate-phosphorus","0.030","mg/l"
"10649",1997,"Phosphate-phosphorus","0.177","mg/l"
"10652",1996,"Phosphate-phosphorus","0.208","mg/l"
"10661",2009,"Phosphate-phosphorus","0.169","mg/l"
"10681",2011,"Phosphate-phosphorus","0.027","mg/l"
"10702",2008,"Phosphate-phosphorus","0.391","mg/l"
"10717",1988,"Phosphate-phosphorus","0.16","mg/l"
"10725",2012,"Phosphate-phosphorus","0.064","mg/l"
"10737",1992,"Phosphate-phosphorus","0.23","mg/l"
"10744",1994,"Phosphate-phosphorus","0.129","mg/l"
"10752",1993,"Phosphate-phosphorus","0.123","mg/l"
"10756",1993,"Phosphate-phosphorus","0.131","mg/l"
"10763",1995,"Phosphate-phosphorus","0.375","mg/l"
"10770",2009,"Phosphate-phosphorus","0.161","mg/l"
"10779",2012,"Phosphate-phosphorus","0.020","mg/l"
"10785",2013,"Phosphate-phosphorus","0.0597","mg/l"
"10790",2013,"Phosphate-phosphorus","0.0322","mg/l"
"10794",2014,"Phosphate-phosphorus","0.305","mg/l"
"10875",2016,"Phosphate-phosphorus","0.185","mg/l"
"10878",2016,"Phosphate-phosphorus","0.359","mg/l"
"10879",2014,"Phosphate-phosphorus","0.0401","mg/l"
"10880",2014,"Phosphate-phosphorus","0.0510","mg/l"
"10946",2018,"Phosphate-phosphorus","0.121","mg/l"
"10974",1997,"Phosphate-phosphorus","0.042","mg/l"
"10975",1996,"Phosphate-phosphorus","0.123","mg/l"
"10980",2003,"Phosphate-phosphorus","0.303","mg/l"
"10982",1999,"Phosphate-phosphorus","0.140","mg/l"
"10991",2000,"Phosphate-phosphorus","0.087","mg/l"
"10994",1997,"Phosphate-phosphorus","0.035","mg/l"
"10999",2000,"Phosphate-phosphorus","0.239","mg/l"
"11006",2004,"Phosphate-phosphorus","0.154","mg/l"
"11025",1998,"Phosphate-phosphorus","0.026","mg/l"
"11027",1998,"Phosphate-phosphorus","0.487","mg/l"
"11036",2002,"Phosphate-phosphorus","0.166","mg/l"
"11037",2001,"Phosphate-phosphorus","0.142","mg/l"
"11043",2009,"Phosphate-phosphorus","0.104","mg/l"
"11054",2007,"Phosphate-phosphorus","0.133","mg/l"
"11063",2007,"Phosphate-phosphorus","0.025","mg/l"
"11064",2010,"Phosphate-phosphorus","0.096","mg/l"
"11070",2012,"Phosphate-phosphorus","0.066","mg/l"
"11076",2011,"Phosphate-phosphorus","0.058","mg/l"
"11091",1989,"Phosphate-phosphorus","0.039","mg/l"
"11100",1991,"Phosphate-phosphorus","0.105","mg/l"
"11104",1991,"Phosphate-phosphorus","0.102","mg/l"
"11111",1992,"Phosphate-phosphorus","0.047","mg/l"
"11117",1993,"Phosphate-phosphorus","0.18","mg/l"
"11123",1992,"Phosphate-phosphorus","0.040","mg/l"
"11129",1994,"Phosphate-phosphorus","0.047","mg/l"
"11151",2009,"Phosphate-phosphorus","0.112","mg/l"
"11157",2013,"Phosphate-phosphorus","0.117","mg/l"
"11162",2012,"Phosphate-phosphorus","0.192","mg/l"
"11164",2012,"Phosphate-phosphorus","0.244","mg/l"
"11168",2013,"Phosphate-phosphorus","0.0447","mg/l"
"11172",2014,"Phosphate-phosphorus","0.0891","mg/l"
"11177",2014,"Phosphate-phosphorus","0.0886","mg/l"
"11182",2015,"Phosphate-phosphorus","0.105","mg/l"
"11226",2015,"Phosphate-phosphorus","0.0290","mg/l"
"11229",2016,"Phosphate-phosphorus","0.0141","mg/l"
"11254",2017,"Phosphate-phosphorus","0.104","mg/l"
"11272",2005,"Phosphate-phosphorus","0.082","mg/l"
"11281",2005,"Phosphate-phosphorus","0.142","mg/l"
"11292",1997,"Phosphate-phosphorus","0.110","mg/l"
"11297",2000,"Phosphate-phosphorus","0.118","mg/l"
"11304",2007,"Phosphate-phosphorus","0.130","mg/l"
"11306",2003,"Phosphate-phosphorus","0.033","mg/l"
"11312",2001,"Phosphate-phosphorus","0.099","mg/l"
"11317",2000,"Phosphate-phosphorus","0.063","mg/l"
"11330",2001,"Phosphate-phosphorus","0.030","mg/l"
"11334",2000,"Phosphate-phosphorus","0.110","mg/l"
"11336",1999,"Phosphate-phosphorus","0.112","mg/l"
"11342",1999,"Phosphate-phosphorus","0.119","mg/l"
"11344",2000,"Phosphate-phosphorus","0.113","mg/l"
"11349",2000,"Phosphate-phosphorus","0.090","mg/l"
"11360",2004,"Phosphate-phosphorus","0.069","mg/l"
"11361",1997,"Phosphate-phosphorus","0.155","mg/l"
"11370",2007,"Phosphate-phosphorus","0.118","mg/l"
"11384",2007,"Phosphate-phosphorus","0.152","mg/l"
"11420",2008,"Phosphate-phosphorus","0.040","mg/l"
"11425",1988,"Phosphate-phosphorus","0.44","mg/l"
"11429",1988,"Phosphate-phosphorus","0.42","mg/l"
"11432",1988,"Phosphate-phosphorus","0.025","mg/l"
"11438",1989,"Phosphate-phosphorus","0.097","mg/l"
"11441",2012,"Phosphate-phosphorus","0.051","mg/l"
"11448",1990,"Phosphate-phosphorus","0.17","mg/l"
"11462",1991,"Phosphate-phosphorus","0.095","mg/l"
"11465",1991,"Phosphate-phosphorus","0.099","mg/l"
"11472",1993,"Phosphate-phosphorus","0.075","mg/l"
"11475",1991,"Phosphate-phosphorus","0.013","mg/l"
"11480",1992,"Phosphate-phosphorus","0.077","mg/l"
"11486",1994,"Phosphate-phosphorus","0.271","mg/l"
"11490",1994,"Phosphate-phosphorus","0.0440","mg/l"
"11493",1993,"Phosphate-phosphorus","0.22","mg/l"
"11495",1993,"Phosphate-phosphorus","0.125","mg/l"
"11505",1992,"Phosphate-phosphorus","0.098","mg/l"
"11514",2010,"Phosphate-phosphorus","0.275","mg/l"
"11517",1989,"Phosphate-phosphorus","0.033","mg/l"
"11523",2013,"Phosphate-phosphorus","0.0839","mg/l"
"11525",2013,"Phosphate-phosphorus","0.295","mg/l"
"11593",2015,"Phosphate-phosphorus","0.227","mg/l"
"11604",2015,"Phosphate-phosphorus","0.0227","mg/l"
"11608",2019,"Phosphate-phosphorus","0.126","mg/l"
"11632",2016,"Phosphate-phosphorus","0.118","mg/l"
"11635",2017,"Phosphate-phosphorus","0.101","mg/l"
"11637",2018,"Phosphate-phosphorus","0.214","mg/l"
"11641",2018,"Phosphate-phosphorus","0.117","mg/l"
"11646",2019,"Phosphate-phosphorus","0.0484","mg/l"
"11660",2003,"Phosphate-phosphorus","0.023","mg/l"
"11662",2005,"Phosphate-phosphorus","0.512","mg/l"
"11671",2001,"Phosphate-phosphorus","0.096","mg/l"
"11676",2001,"Phosphate-phosphorus","0.228","mg/l"
"11678",2000,"Phosphate-phosphorus","0.109","mg/l"
"11680",2002,"Phosphate-phosphorus","0.098","mg/l"
"11685",2003,"Phosphate-phosphorus","0.078","mg/l"
"11700",2000,"Phosphate-phosphorus","0.091","mg/l"
"11709",1997,"Phosphate-phosphorus","0.068","mg/l"
"11740",2014,"Phosphate-phosphorus","0.0229","mg/l"
"11750",1988,"Phosphate-phosphorus","0.17","mg/l"
"11754",1990,"Phosphate-phosphorus","0.087","mg/l"
"11775",1990,"Phosphate-phosphorus","0.068","mg/l"
"11783",1994,"Phosphate-phosphorus","0.048","mg/l"
"11784",1997,"Phosphate-phosphorus","0.110","mg/l"
"11787",1993,"Phosphate-phosphorus","0.17","mg/l"
"11798",1991,"Phosphate-phosphorus","0.36","mg/l"
"11801",1995,"Phosphate-phosphorus","0.099","mg/l"
"11806",1992,"Phosphate-phosphorus","0.089","mg/l"
"11899",2016,"Phosphate-phosphorus","0.174","mg/l"
"11904",2016,"Phosphate-phosphorus","0.0222","mg/l"
"11908",2014,"Phosphate-phosphorus","0.0654","mg/l"
"11922",2018,"Phosphate-phosphorus","0.436","mg/l"
"11941",2001,"Phosphate-phosphorus","0.097","mg/l"
"11943",2003,"Phosphate-phosphorus","0.064","mg/l"
"11947",2004,"Phosphate-phosphorus","0.050","mg/l"
"11948",1996,"Phosphate-phosphorus","0.035","mg/l"
"11958",2005,"Phosphate-phosphorus","0.031","mg/l"
"11960",1996,"Phosphate-phosphorus","0.072","mg/l"
"11965",1996,"Phosphate-phosphorus","0.222","mg/l"
"11969",1999,"Phosphate-phosphorus","0.135","mg/l"
"11978",2004,"Phosphate-phosphorus","0.103","mg/l"
"11979",2001,"Phosphate-phosphorus","0.236","mg/l"
"11983",1997,"Phosphate-phosphorus","0.045","mg/l"
"11986",2006,"Phosphate-phosphorus","0.137","mg/l"
"11988",2001,"Phosphate-phosphorus","0.133","mg/l"
"12000",1998,"Phosphate-phosphorus","0.028","mg/l"
"12001",1999,"Phosphate-phosphorus","0.223","mg/l"
"12004",1998,"Phosphate-phosphorus","0.172","mg/l"
"12008",1996,"Phosphate-phosphorus","0.068","mg/l"
"12011",1996,"Phosphate-phosphorus","0.385","mg/l"
"12012",1999,"Phosphate-phosphorus","0.035","mg/l"
"12025",2004,"Phosphate-phosphorus","0.119","mg/l"
"12027",1997,"Phosphate-phosphorus","0.084","mg/l"
"12029",2000,"Phosphate-phosphorus","0.117","mg/l"
"12052",2015,"Phosphate-phosphorus","0.0533","mg/l"
"12072",1990,"Phosphate-phosphorus","0.130","mg/l"
"12075",1989,"Phosphate-phosphorus","0.28","mg/l"
"12079",1989,"Phosphate-phosphorus","0.21","mg/l"
"12081",2010,"Phosphate-phosphorus","0.416","mg/l"
"12087",1991,"Phosphate-phosphorus","0.146","mg/l"
"12095",1992,"Phosphate-phosphorus","0.048","mg/l"
"12102",1991,"Phosphate-phosphorus","0.114","mg/l"
"12110",1994,"Phosphate-phosphorus","0.0480","mg/l"
"12112",1993,"Phosphate-phosphorus","0.106","mg/l"
"12118",2013,"Phosphate-phosphorus","0.061","mg/l"
"12173",2019,"Phosphate-phosphorus","0.0968","mg/l"
"12175",2015,"Phosphate-phosphorus","0.0488","mg/l"
"12219",2017,"Phosphate-phosphorus","0.100","mg/l"
"12222",2019,"Phosphate-phosphorus","0.117","mg/l"
"12225",2018,"Phosphate-phosphorus","0.159","mg/l"
"12252",2019,"Phosphate-phosphorus","0.164","mg/l"
"12270",2002,"Phosphate-phosphorus","0.080","mg/l"
"12285",1999,"Phosphate-phosphorus","0.129","mg/l"
"12290",2003,"Phosphate-phosphorus","0.486","mg/l"
"12298",2005,"Phosphate-phosphorus","0.395","mg/l"
"12305",2000,"Phosphate-phosphorus","0.089","mg/l"
"12312",2004,"Phosphate-phosphorus","0.102","mg/l"
"12313",2004,"Phosphate-phosphorus","0.102","mg/l"
"12330",2004,"Phosphate-phosphorus","0.113","mg/l"
"12338",1998,"Phosphate-phosphorus","0.089","mg/l"
"12352",2001,"Phosphate-phosphorus","0.024","mg/l"
"12353",2002,"Phosphate-phosphorus","0.023","mg/l"
"12354",1996,"Phosphate-phosphorus","0.119","mg/l"
"12383",2007,"Phosphate-phosphorus","0.610","mg/l"
"12396",2010,"Phosphate-phosphorus","0.068","mg/l"
"12399",2009,"Phosphate-phosphorus","0.364","mg/l"
"12406",1988,"Phosphate-phosphorus","0.015","mg/l"
"12411",1988,"Phosphate-phosphorus","0.064","mg/l"
"12425",2012,"Phosphate-phosphorus","0.054","mg/l"
"12430",2014,"Phosphate-phosphorus","0.0833","mg/l"
"12433",2014,"Phosphate-phosphorus","0.0261","mg/l"
"12443",1991,"Phosphate-phosphorus","0.047","mg/l"
"12450",1994,"Phosphate-phosphorus","0.071","mg/l"
"12453",1994,"Phosphate-phosphorus","0.0500","mg/l"
"12460",1995,"Phosphate-phosphorus","0.204","mg/l"
"12470",1991,"Phosphate-phosphorus","0.082","mg/l"
"12479",1994,"Phosphate-phosphorus","0.149","mg/l"
"12487",2010,"Phosphate-phosphorus","0.144","mg/l"
"12490",2013,"Phosphate-phosphorus","0.0305","mg/l"
"12502",2014,"Phosphate-phosphorus","0.0358","mg/l"
"12557",2014,"Phosphate-phosphorus","0.157","mg/l"
"12562",2016,"Phosphate-phosphorus","0.0270","mg/l"
"12564",2015,"Phosphate-phosphorus","0.0757","mg/l"
"12640",2019,"Phosphate-phosphorus","0.157","mg/l"
"12642",2019,"Phosphate-phosphorus","0.156","mg/l"
"12647",2019,"Phosphate-phosphorus","0.160","mg/l"
"12665",2004,"Phosphate-phosphorus","0.030","mg/l"
"12676",2004,"Phosphate-phosphorus","0.121","mg/l"
"12681",2002,"Phosphate-phosphorus","0.099","mg/l"
"12682",2005,"Phosphate-phosphorus","0.144","mg/l"
"12686",2001,"Phosphate-phosphorus","0.262","mg/l"
"12689",1997,"Phosphate-phosphorus","0.160","mg/l"
"12708",2002,"Phosphate-phosphorus","0.083","mg/l"
"12710",2003,"Phosphate-phosphorus","0.017","mg/l"
"12717",1998,"Phosphate-phosphorus","0.131","mg/l"
"12726",1989,"Phosphate-phosphorus","0.055","mg/l"
"12728",1989,"Phosphate-phosphorus","0.072","mg/l"
"12734",2007,"Phosphate-phosphorus","0.129","mg/l"
"12742",2007,"Phosphate-phosphorus","0.263","mg/l"
"12763",2008,"Phosphate-phosphorus","0.132","mg/l"
"12768",2008,"Phosphate-phosphorus","0.206","mg/l"
"12776",2010,"Phosphate-phosphorus","0.136","mg/l"
"12784",1990,"Phosphate-phosphorus","0.112","mg/l"
"12792",1989,"Phosphate-phosphorus","0.095","mg/l"
"12796",1990,"Phosphate-phosphorus","0.22","mg/l"
"12799",1991,"Phosphate-phosphorus","0.103","mg/l"
"12805",1991,"Phosphate-phosphorus","0.114","mg/l"
"12809",1991,"Phosphate-phosphorus","0.09","mg/l"
"12812",1993,"Phosphate-phosphorus","0.104","mg/l"
"12823",1992,"Phosphate-phosphorus","0.044","mg/l"
"12832",1995,"Phosphate-phosphorus","0.049","mg/l"
"12835",1993,"Phosphate-phosphorus","0.33","mg/l"
"12844",2011,"Phosphate-phosphorus","0.113","mg/l"
"12850",2012,"Phosphate-phosphorus","0.229","mg/l"
"12893",2015,"Phosphate-phosphorus","0.0607","mg/l"
"12954",2018,"Phosphate-phosphorus","0.0787","mg/l"
"12959",2017,"Phosphate-phosphorus","0.156","mg/l"
"12962",2017,"Phosphate-phosphorus","0.367","mg/l"
"12963",2018,"Phosphate-phosphorus","0.288","mg/l"
"12965",2019,"Phosphate-phosphorus","0.104","mg/l"
"12974",2002,"Phosphate-phosphorus","0.094","mg/l"
"12977",1999,"Phosphate-phosphorus","0.124","mg/l"
"12986",2003,"Phosphate-phosphorus","0.013","mg/l"
"12988",2002,"Phosphate-phosphorus","0.105","mg/l"
"12992",2007,"Phosphate-phosphorus","0.133","mg/l"
"12994",2001,"Phosphate-phosphorus","0.289","mg/l"
"13000",2001,"Phosphate-phosphorus","0.251","mg/l"
"13006",2002,"Phosphate-phosphorus","0.322","mg/l"
"13013",1995,"Phosphate-phosphorus","0.021","mg/l"
"13014",2004,"Phosphate-phosphorus","0.084","mg/l"
"13017",2000,"Phosphate-phosphorus","0.191","mg/l"
"13033",2005,"Phosphate-phosphorus","0.226","mg/l"
"13048",2007,"Phosphate-phosphorus","0.115","mg/l"
"13051",2014,"Phosphate-phosphorus","0.0303","mg/l"
"13055",2014,"Phosphate-phosphorus","0.0297","mg/l"
"13057",2007,"Phosphate-phosphorus","0.028","mg/l"
"13063",2011,"Phosphate-phosphorus","0.224","mg/l"
"13091",2008,"Phosphate-phosphorus","0.028","mg/l"
"13099",2010,"Phosphate-phosphorus","0.046","mg/l"
"13102",2009,"Phosphate-phosphorus","0.455","mg/l"
"13107",1988,"Phosphate-phosphorus","0.014","mg/l"
"13109",2011,"Phosphate-phosphorus","0.082","mg/l"
"13118",1990,"Phosphate-phosphorus","0.104","mg/l"
"13120",2014,"Phosphate-phosphorus","0.0218","mg/l"
"13123",1991,"Phosphate-phosphorus","0.25","mg/l"
"13128",1990,"Phosphate-phosphorus","0.122","mg/l"
"13135",1993,"Phosphate-phosphorus","0.124","mg/l"
"13137",1992,"Phosphate-phosphorus","0.173","mg/l"
"13138",1992,"Phosphate-phosphorus","0.110","mg/l"
"13145",1994,"Phosphate-phosphorus","0.45","mg/l"
"13152",1992,"Phosphate-phosphorus","0.095","mg/l"
"13158",1992,"Phosphate-phosphorus","0.105","mg/l"
